Date,DIS,XOM,PFE,MO,INTC
2002-01-07,17.88426971435547,18.122180938720703,14.545967102050781,2.6272623538970947,20.113046646118164
2002-01-08,17.530433654785156,18.145042419433594,14.505661964416504,2.667309522628784,20.289838790893555
2002-01-09,16.768909454345703,17.934778213500977,14.674213409423828,2.6481335163116455,20.164371490478516
2002-01-10,17.145824432373047,18.003341674804688,15.025949478149414,2.6616687774658203,19.759492874145508
2002-01-11,16.82275390625,17.5965633392334,14.875722885131836,2.687614917755127,19.70246124267578
2002-01-14,16.43814468383789,17.660552978515625,14.846418380737305,2.7220208644866943,19.867841720581055
2002-01-15,16.52275848388672,17.96221351623535,14.806112289428711,2.7637598514556885,19.776601791381836
2002-01-16,15.768928527832031,17.5965633392334,14.740161895751953,2.7214572429656982,19.223438262939453
2002-01-17,16.338151931762695,17.660552978515625,14.70351791381836,2.7637598514556885,19.69105339050293
2002-01-18,16.30738067626953,17.550867080688477,14.69252872467041,2.7530417442321777,19.092275619506836
2002-01-22,16.238147735595703,17.377182006835938,14.949009895324707,2.7423255443573,18.077226638793945
2002-01-23,16.468910217285156,17.779382705688477,15.315399169921875,2.8032422065734863,18.50492286682129
2002-01-24,16.30738067626953,17.733692169189453,15.205485343933105,2.783500909805298,18.932607650756836
2002-01-25,16.753524780273438,17.89822769165039,15.278766632080078,2.7975997924804688,19.206340789794922
2002-01-28,17.03044319152832,17.80681037902832,15.231124877929688,2.8145217895507812,19.34320068359375
2002-01-29,16.730449676513672,17.345182418823242,15.014951705932617,2.808318853378296,18.636072158813477
2002-01-30,16.461219787597656,17.683408737182617,15.113883018493652,2.795910120010376,19.308990478515625
2002-01-31,16.199689865112305,17.847949981689453,15.267765998840332,2.8263673782348633,19.981895446777344
2002-02-01,17.26889991760254,17.825092315673828,15.443638801574707,2.804934024810791,19.770891189575195
2002-02-04,16.676599502563477,17.528013229370117,15.077241897583008,2.7818078994750977,19.377422332763672
2002-02-05,16.768909454345703,17.518875122070312,15.385013580322266,2.7857556343078613,19.286117553710938
2002-02-06,16.476608276367188,17.788524627685547,15.128545761108398,2.8173422813415527,18.783992767333984
2002-02-07,17.34581756591797,17.609224319458008,14.677872657775879,2.7970376014709473,18.435935974121094
2002-02-08,18.015031814575195,17.60462760925293,14.912360191345215,2.8241119384765625,18.55575180053711
2002-02-11,18.4227237701416,17.701171875,14.989306449890137,2.8336997032165527,19.15488624572754
2002-02-12,17.99965476989746,17.655202865600586,15.088232040405273,2.82918643951416,18.812528610229492
2002-02-13,18.361183166503906,17.765544891357422,15.102943420410156,2.8568241596221924,19.046464920043945
2002-02-14,18.645793914794922,17.93105697631836,14.99635124206543,2.8765652179718018,19.023645401000977
