DIS,XOM,PFE,MO,INTC
1.2878610561701629,0.9080957737351226,0.6588312136341473,-0.36033679281731923,0.4419130833110204
1.3480645969562293,-0.4156774112800289,-0.6266824149138738,-0.010433586207388294,0.18235423925996486
1.4337628861825218,0.3547823089633606,1.2996318069327073,0.7818010129232764,0.9765718954750156
-0.36436380893597486,-1.354875524025047,-0.5025795685708541,-0.19302743927333477,-0.7004504822693894
0.7977792872074048,0.29933121214595043,0.7298816056506088,-1.2375351741099343,0.848385890075325
0.8136645785101455,0.7449228814353327,0.9568587658133452,-0.5009799282508233,-0.6304688441448485
-0.9527104918519328,-1.2513274110207837,-0.508671082642998,-2.9465855787088744,-1.7571123875380552
-0.2931998662215803,0.6614800420550883,0.02178541739196346,-0.012812870365843611,0.23726631323665145
-1.2443957824893934,0.26566176679936926,-1.887061063668853,0.2083212585321331,-1.478591924835792
-1.1623529328384892,-1.8658464966292267,-0.1781444807512836,1.1801108994945824,-0.5591257393433726
0.7139787503288467,-0.3705916918781748,-0.4329419817405633,0.05578329081591544,0.463733522960048
-0.18023910769316762,0.03595650772292034,0.41225387289238163,0.47891680086794347,-0.7785515698987728
-1.9158700201072385,-2.7888419245094265,-2.801273617858082,-0.5470631760231536,-1.3861728211126383
0.6299894639201803,0.23231744264116833,1.4508332186139168,-1.9512553486026425,0.4121142917288113
-0.5821194032697128,-0.11801042561794578,-0.48707468048692776,0.2632144080405576,-1.786526547142014
1.2197137138629028,0.7278956795209007,-1.731047344009567,-1.6569835055031255,1.930228501561181
1.0592128799069713,-0.49805641742071066,-0.1835147606079087,1.244124227790357,-0.2539382367599846
0.6670032069123429,1.1068892788130755,0.5008773721533082,-0.47155115279067583,0.640392484068777
-0.14011294719781422,-0.3254031240748404,-0.1438705130674507,0.24369457489705704,0.23248681406675722
-1.343784415212731,-1.571562131545881,-1.407922662411391,-0.8245530398059858,-1.5962385775272914
-0.006214657376729149,0.6799077232778562,-0.2777326753555079,-0.1696073458974661,0.5576155649436582
0.634147969878537,0.4267212148036923,0.700806982477576,1.1937240353028868,-0.5954447023803512
0.31023361260069493,-2.0991418507291004,-1.1235494022256063,-0.999853113243016,-0.24970352057044776
-0.48412977459523804,0.1454955246910915,-0.09172082040638245,0.5358500785006381,-0.5453284006298352
-1.9367036891914444,-1.3441274920919324,-0.6761320457183183,-2.7361961324344097,-0.5768940057216061
0.9002886158836028,0.7337796302548267,-0.5358617607549077,-1.4976156869162742,-0.16960122664318594
-0.3627472104349809,-0.2815789364028802,-0.17119547130008295,0.27103658160254507,-1.529287948875297
-0.6909872713096019,-1.2811790023794587,-1.1795497409267002,-0.3660892623441291,0.401318920379273
1.4363293044480256,0.9993797125872397,2.391251905471373,-1.1182269940547116,1.646000283395877
0.9554889868013561,2.3285705047269305,1.5807734879114146,1.0285048454591705,-0.11190012323516256
-1.3694517933877683,-1.970680558509206,-2.7427561018925597,-4.361090939889006,-1.0380762079976078
-0.21844180221624426,-1.3675443791262596,0.6862014317086002,0.35889410591834475,-1.488442871880867
1.168016579777421,2.7824154044796394,2.2492284498670796,0.836574297980936,1.5475675554758614
1.1095562732035507,-1.6398624353016906,-0.7136782458923491,-0.6007490283773036,-0.748581955870838
-0.5102554433470523,0.619666218303164,-0.5016069311933259,-0.01123086103283107,-0.9567925353061107
-2.0029280068834208,-0.1916888018229498,-1.6455323490749447,-1.9441496139003243,-0.2898759571661792
-2.03871911417508,0.12495112812769017,-0.37328672997471973,1.010288701838181,0.21293834323817984
1.146675870890506,-0.6880661965223236,2.136951609990965,-1.2711284937544227,-1.3100482174095294
-1.0242916806841975,0.13124336118453483,-0.6361129201311827,0.1919114018555668,0.5051102636202361
2.262734956829402,1.2503322979752636,1.0615345295344112,-0.3028119423229899,1.5052380342160714
1.6245442146012878,0.9376634018370388,0.2499481411597402,0.5649879034648526,2.0474594765103515
0.15638044290283684,0.4611665950313945,1.1275661015858776,0.9490528235749704,-0.24756075532428132
1.3320764321020133,1.7175245911113826,1.2124437984203738,1.2732016293780746,2.5983931206754263
-0.7002469376720057,-1.0007884275616616,0.1725778825008482,-1.030249424201674,-5.7170584060741225
0.689538341075806,0.9172754029336317,1.1723465731250962,1.1720403848827843,1.281976946112652
-0.0065869150698878295,-0.4192086019004958,1.0092986338010554,-0.20251218702136103,0.4024790040141261
1.2197112333355244,-0.04523630537948375,-1.8339714095472983,1.8357581597604258,1.7230949942763694
-0.5277971598187905,-1.1287215619957445,-1.1661363553982909,0.3200341707557523,-0.5815335002684745
1.3142336166095305,-0.11302395713601049,-0.3724075894796551,-0.1653030591855105,1.7320436238792154
-0.7674417225411345,-0.6795286007516996,-0.6599193815346959,-0.019328221429411926,-0.8896544590105383
1.094503941594979,0.565327943736774,1.9381967913595106,-0.3168921811214805,1.5488860048486786
-1.1494147825346623,-0.7141444048805224,-0.4619201747816637,-1.0605452468631107,0.32866172090211243
-1.252800203268038,-2.126769861681041,-0.43283939533555016,0.3800636504529111,-0.6673568006044666
0.1544116188253542,1.154425854063333,1.1557154836300154,-0.8733865175106568,0.9185231665065567
-0.27006811062859104,-0.635934464179381,-0.39138036723137737,-0.7540207492307124,0.4630751469191281
0.6602767009309056,1.3636365613169452,0.5439918587759835,1.972631801761851,1.4821236643437055
1.9830763407556138,-0.6012004481067932,-0.12435112187537609,-0.6480029720130936,0.6585661370147181
1.0741145548516646,1.784668490128287,0.8557986970090665,0.8761573584411517,-0.5938170653763023
0.4136201025651262,-0.6717141288366609,1.5030738272564486,0.015563584302154414,1.1297682893301035
-1.1188934256081615,-0.5968337188055585,-0.07764913996129834,0.3102168654769882,-1.0339178518784655
